ID,Nome,Gênero,Idade,Raça,Endereço,Formação,Estado,Tempo de Casa,Departamento,Senioridade,idade_inicio
39,Sâmia Juliana do Espírito Santo de Tavares,Feminino,27,Preto,346 Daniel Tunnel; New Kimberlyland; MO 07735,Ensino Médio,Mato Grosso,0,Administrativo,Analista Júnior,2
40,Zuleide Castelo,Feminino,28,Preto,132 Elizabeth Knoll Suite 698; West Jasonstad; NM 79341,Ensino Superior,Rio de Janeiro,8,Marketing,Analista Sênior,2
41,Renata Maria de Espanha Chearndeã do Amaral,Feminino,29,Branco,110 Michael Ramp Apt. 827; Victoriabury; GA 39019,Mestrado,Amapá,1,Compras,Analista Júnior,2
42,Cléber dos Santos de Carvalho,Masculino,34,Branco,00389 Martin Way; Lake Richard; MP 53169,Ensino Superior,Pernambuco,0,TI,Analista Sênior,3
43,Fabiano Gomes,Masculino,31,Preto,91608 Jacob Corners Apt. 700; Scotttown; OR 60821,Ensino Superior,Rio de Janeiro,8,Compras,Analista Júnior,2
44,Roberval Osvaldo Pyva Esalicason de Pinheiro,Masculino,30,Branco,24239 Leslie Cove; Rebeccaview; AK 18903,Ensino Superior,Rio Grande do Norte,8,Vendas,Analista Pleno,2
45,Junior de Souza Abon,Masculino,22,Branco,437 Timothy Landing Apt. 472; Tinaberg; NC 80866,Mestrado,Pernambuco,1,Marketing,Analista Pleno,2
47,Leandro Roberval Tyuslean,Masculino,39,Pardo,52791 Derrick Roads; Lisaside; PW 65838,Pós Graduação,Paraná,6,Compras,Analista Pleno,3
48,Nicolas de Pimentel Etozvic Aodintom,Masculino,20,Pardo,0351 Andre Trace; Harrisborough; MT 42487,Ensino Superior,Acre,4,Contabilidade,Analista Pleno,1
49,Jacinto de Azevedo da Silva,Masculino,36,Pardo,152 Stone Burg Apt. 096; Wilsonberg; SD 63449,Pós Graduação,Paraná,8,Recursos Humanos,Analista Pleno,2
50,Albino da Silva dos Santos,Masculino,30,Pardo,819 Barnes Harbors Suite 669; North Josephfurt; MN 61722,Ensino Superior,Amapá,5,Compras,Analista Pleno,2
51,Dilma Berenice Vyratu Rage de Barbosa,Feminino,29,Branco,2022 Guerrero Islands; Michellestad; CA 58332,Ensino Médio,Santa Catarina,2,Contabilidade,Analista Júnior,2
52,Joel Marlon Hihopi,Masculino,33,Branco,6383 Castillo Haven Apt. 035; Port Melissa; MN 49644,Ensino Superior,São Paulo,5,Operações,Analista Júnior,2
53,Francisco Ysemelman Liyrn,Masculino,49,Branco,Unit 5031 Box 5627; DPO AP 91497,Ensino Superior,Piauí,2,Operações,Analista Pleno,4
54,Andréia Rebeca da Silva,Feminino,40,Branco,684 James Expressway; North Andrew; MN 98080,Pós Graduação,Rio Grande do Sul,4,Contabilidade,Analista Pleno,3
55,Wendy Genir de Ortiz Pinto da Silva,Feminino,37,Branco,08254 Miller Hill Suite 137; Port Jennifer; VT 78810,Doutorado,Rio de Janeiro,4,Administrativo,Analista Júnior,3
58,Flávio Lúcio Schneider,Masculino,24,Pardo,6667 Allison Shoal Apt. 997; Port Gordonburgh; MT 92672,Ensino Superior,Paraná,8,Compras,Analista Sênior,1
59,Zeca Antônio da Nóbrega Weber Ezze,Masculino,37,Pardo,6936 Richard Haven; Lake Marcus; ID 61719,Ensino Superior,Paraná,7,Recursos Humanos,Analista Sênior,3
60,Diogo Sérgio de Assis,Masculino,29,Branco,31490 Turner Glens; Cohenmouth; NV 13159,Pós Graduação,Rio Grande do Sul,2,Marketing,Gerente,2
61,Bianca Amália Espada Adoan,Feminino,30,Branco,83246 Warren Port Suite 985; Port Roy; WV 95717,Ensino Superior,Minas Gerais,7,Desenvolvimento de Produtos,Analista Júnior,2
64,Sebastião de Muniz Clyloier,Masculino,29,Pardo,436 Roberts Prairie Apt. 200; Port Jasminestad; DE 96373,Ensino Superior,Bahia,9,TI,Analista Júnior,2
66,Antônio de Souza Uji Júnior,Masculino,27,Pardo,46034 Aaron Throughway; Huffmanland; AL 04085,Pós Graduação,São Paulo,5,Operações,Analista Júnior,2
67,Hélio Ademar Gryamman Júnior,Masculino,31,Pardo,Unit 9930 Box 1188; DPO AA 15441,Ensino Superior,Rio Grande do Sul,5,Vendas,Analista Júnior,2
69,Eric de Freitas,Masculino,29,Pardo,70473 Kemp Stravenue Suite 610; Johnschester; ME 12215,Ensino Superior,Maranhão,4,Vendas,Analista Júnior,2
70,Edson Nicolau Marques,Masculino,32,Pardo,USS Bell; FPO AE 02330,Doutorado,Paraíba,9,Vendas,Analista Pleno,2
71,Kevin Toztin de Sobral,Masculino,24,Pardo,64891 Melissa Villages Apt. 610; Larsonshire; WA 20196,Ensino Superior,Maranhão,3,Recursos Humanos,Analista Júnior,2
72,Olga de Drummond,Feminino,42,Branco,8935 Scott Trail; West Veronica; WA 70739,Ensino Superior,Goiás,2,Operações,Gerente,4
73,Diogo de São Pedro Pultonão Negrão,Masculino,41,Branco,79392 Michael Forest Suite 665; Janiceville; SC 47903,Ensino Superior,Pará,3,Vendas,Analista Júnior,3
74,Nilo Patrick de Mendonça,Masculino,18,Branco,13033 Thomas Mountains; New Travis; OR 54966,Ensino Superior,Amazonas,1,Operações,Analista Sênior,1
75,Rogério Nelson Vigrylaz,Masculino,39,Pardo,PSC 2671; Box 9678; APO AE 95222,Ensino Superior,Goiás,8,Compras,Analista Júnior,3
76,Reinaldo Osório da Luz Milani de Magalhães,Masculino,36,Pardo,87995 Hannah Isle Apt. 300; East Brian; MH 75045,Doutorado,Rondônia,8,Recursos Humanos,Gerente,2
79,Kim Roberval de Lisboa,Masculino,42,Pardo,243 Mark Overpass Suite 074; Port Dennistown; FL 67754,Ensino Superior,Minas Gerais,7,TI,Analista Pleno,3
80,Altair de Sá dos Santos Júnior,Masculino,36,Pardo,24576 Bond Extension; Melissaport; SC 06495,Mestrado,Distrito Federal,9,Vendas,Analista Pleno,2
82,Isabela de Borges,Feminino,28,Branco,80382 Benjamin Lake Apt. 125; East Lisa; WI 70274,Ensino Superior,Amapá,5,Contabilidade,Analista Júnior,2
83,Jean Eugarnson Gomes,Masculino,25,Branco,24604 Olson Flat; Smithchester; PW 82724,Ensino Superior,São Paulo,5,Administrativo,Analista Sênior,2
84,Edu de Drummond,Masculino,21,Pardo,91627 Ford Mount Suite 882; Romeromouth; LA 44115,Ensino Médio,Paraná,3,Operações,Analista Pleno,1
85,Liane da Gama de Amorim,Feminino,22,Pardo,741 Hayes Stravenue Apt. 651; Port Hollystad; CA 59343,Ensino Superior,Mato Grosso do Sul,4,Marketing,Analista Júnior,1
86,Everton Paim Piwa,Masculino,36,Branco,385 Julia Knolls Apt. 389; North Katherine; TX 39162,Mestrado,Tocantins,6,Desenvolvimento de Produtos,Analista Júnior,3
87,Graziele Albina Rosatto,Feminino,47,Pardo,741 Debra Union Suite 319; West Theresaport; ND 61472,Ensino Superior,Piauí,0,TI,Analista Sênior,4
88,Jean Cauê de Macedo,Masculino,41,Preto,91132 Ashlee Mount Apt. 097; North Michele; PR 47640,Ensino Superior,Amazonas,8,Desenvolvimento de Produtos,Estagiário,3
89,Wanda de Malta,Feminino,34,Pardo,609 Waller Mission Suite 201; New Elizabeth; MI 33924,Ensino Superior,Paraíba,6,Desenvolvimento de Produtos,Gerente,2
90,Márcia de Barbosa Yazeze,Feminino,39,Pardo,USNS Hayes; FPO AA 16021,Mestrado,São Paulo,3,Administrativo,Analista Júnior,3
92,Elói Joel Nugi Odrean,Masculino,29,Preto,198 Parker Bridge Suite 453; Gregorybury; HI 38913,Ensino Superior,Ceará,3,TI,Analista Sênior,2
93,Patrick de Machado Iloltri Cavalcante Terceiro,Masculino,38,Branco,178 Travis Ville; Saraport; PW 99118,Ensino Médio,Piauí,3,Operações,Analista Sênior,3
94,Melanie Evelyn Fifenman,Feminino,37,Pardo,825 Eugene Loaf Apt. 983; Lake Bryce; GU 34666,Ensino Superior,Bahia,5,Contabilidade,Analista Júnior,3
95,Magali Zara Lopes,Feminino,31,Branco,57271 Espinoza Mission Apt. 423; Lake Jessica; MS 44483,Mestrado,Rondônia,2,Compras,Analista Pleno,2
96,Rafael dos Santos,Masculino,32,Pardo,USS Whitehead; FPO AP 78126,Doutorado,Piauí,4,Marketing,Gerente,2
97,Kim de Moreira,Masculino,27,Pardo,361 John Tunnel Apt. 413; Stewartmouth; UT 58384,Doutorado,Rio Grande do Sul,5,Vendas,Estagiário,2
99,Yuri Marco de Tavares Woibi,Masculino,33,Branco,4455 Sara Coves; Port Joseph; HI 76538,Ensino Superior,Rio de Janeiro,14,Recursos Humanos,Gerente,1
101,Tânia Ivone Gomes,Feminino,32,Pardo,16646 Bryant River Apt. 197; Wilsonchester; WY 80127,Ensino Superior,Bahia,6,Compras,Analista Sênior,2
102,Elias de Azevedo Erna Enun,Masculino,41,Pardo,Unit 2680 Box 5202; DPO AE 60045,Ensino Superior,Tocantins,6,Operações,Gerente,3
104,João da Encarnação do Nascimento de Alvim,Masculino,53,Branco,70710 Jessica Highway Apt. 453; North Chadberg; GA 47760,Ensino Superior,Distrito Federal,7,TI,Analista Sênior,4
105,Roberval Valverde Irnpibissiman,Masculino,28,Branco,8972 Teresa Shoal Apt. 731; Port Katherinebury; ID 22703,Ensino Superior,Bahia,12,TI,Gerente,1
107,Hércules de Castro Preto,Masculino,34,Pardo,388 King Cliffs; Benjaminshire; IN 11826,Pós Graduação,Pará,4,Vendas,Estagiário,3
108,Leandro de Souza,Masculino,37,Pardo,978 Fernandez Union Suite 497; Sheppardborough; NM 76187,Mestrado,Rio Grande do Sul,6,Contabilidade,Analista Júnior,3
109,Roberto Fortes de Oliveira Mercado,Masculino,32,Pardo,6881 Allison Summit; East Teresa; MP 65729,Pós Graduação,Acre,7,Contabilidade,Analista Sênior,2
110,Décio Aldo Tabeiov,Masculino,34,Pardo,759 Jessica Coves Suite 331; Torresmouth; SD 25255,Ensino Superior,Santa Catarina,7,Operações,Analista Júnior,2
111,Eric Moisés de Moura,Masculino,26,Pardo,2835 Gregory Locks Apt. 792; West Isaiahtown; IA 61963,Doutorado,Pernambuco,5,Operações,Analista Pleno,2
113,Gigi Yeda de Pascoal Hetewa dos Santos,Feminino,27,Pardo,2020 Cruz Vista Apt. 408; North Paul; AL 86427,Ensino Superior,Mato Grosso do Sul,6,Contabilidade,Gerente,2
114,Dário Bernardo da Silva Valente Neto,Masculino,32,Pardo,417 Wiggins Shores Apt. 254; New Joseph; DE 53201,Ensino Superior,Bahia,9,TI,Gerente,2
115,Heitor Oglo Etti,Masculino,34,Branco,PSC 9133; Box 4583; APO AE 17802,Pós Graduação,Paraná,6,Compras,Analista Pleno,2
116,Thaís da Silva,Feminino,38,Pardo,194 Hoover Estates; West Lisa; DC 70014,Ensino Superior,Mato Grosso,2,Contabilidade,Analista Júnior,3
117,Juliano Coarnzytas,Masculino,21,Pardo,86890 Hunter Ville; West Heatherbury; MH 60299,Ensino Médio,Piauí,4,Vendas,Analista Júnior,1
118,Camilo Bruno de Magalhães,Masculino,38,Pardo,249 Baldwin Center Apt. 726; Jasminestad; DE 39433,Mestrado,Amazonas,13,Operações,Analista Júnior,2
121,Valquíria de Santo Antônio Rosa Dara Terceiro,Feminino,37,Pardo,964 Richard Road; Victoriafort; KS 53299,Ensino Superior,Bahia,10,TI,Analista Pleno,2
124,Edson Gilmar de Fraga,Masculino,33,Branco,911 Warner Terrace; Port Michael; AK 05727,Ensino Superior,Maranhão,3,TI,Gerente,3
125,Maurício Wagner de Pereira Terceiro,Masculino,42,Branco,77225 Hunter Plains Suite 873; Schmidtstad; UT 67340,Ensino Superior,Rondônia,8,Desenvolvimento de Produtos,Analista Júnior,3
126,Elias Aécio Thiel de Garcia Borowahe,Masculino,24,Branco,047 Montgomery Pine Apt. 824; Nguyenview; AZ 96107,Ensino Superior,Santa Catarina,3,Marketing,Analista Pleno,2
127,Jeniffer de Figueiredo,Feminino,36,Branco,69598 Zachary Fords; North Kaylaport; CA 29730,Ensino Superior,Tocantins,6,Compras,Estagiário,3
128,Mike Marlon de Souza,Masculino,38,Branco,PSC 4911; Box 9043; APO AE 64315,Ensino Superior,Rio Grande do Norte,12,Compras,Analista Júnior,2
129,Eugênio Ushoso dos Santos de Alencar,Masculino,30,Branco,94134 Hernandez Parkways; New Joshuahaven; GA 58410,Ensino Superior,Mato Grosso,2,Operações,Estagiário,2
132,Paulo Jacinto Dafayson,Masculino,28,Indígena,515 James Stream; South Dana; AS 21894,Ensino Superior,Rio Grande do Sul,4,Administrativo,Analista Pleno,2
133,Samuel Josiel Mendes,Masculino,36,Branco,53148 Salazar Springs; Melissaville; FL 04144,Pós Graduação,Amapá,0,Marketing,Analista Júnior,3
134,Kevin da Paz Bekipe,Masculino,49,Branco,59931 Garcia Ramp; Lake Brittanyland; CA 31261,Mestrado,Rio Grande do Sul,2,Operações,Analista Sênior,4
135,Diego de Linhares Tristão Júnior,Masculino,28,Pardo,5159 Patterson Valley Apt. 010; East Justinland; MS 62696,Mestrado,Rio Grande do Sul,3,TI,Analista Júnior,2
136,Alexandre Celso de Santana Edrynman Júnior,Masculino,40,Branco,414 Stevens Ville; West John; LA 58049,Ensino Superior,Goiás,3,Administrativo,Analista Sênior,3
137,Maurício da Lira,Masculino,22,Pardo,603 Lewis Center Suite 804; Port Nicholas; NE 93033,Ensino Superior,Santa Catarina,6,Recursos Humanos,Estagiário,1
141,Kátia Memo,Feminino,37,Preto,386 Samantha Union Suite 158; New Carmenfort; MP 34818,Ensino Superior,Minas Gerais,4,Contabilidade,Analista Sênior,3
142,Valdirene Cibau,Feminino,35,Branco,023 Joshua Gateway Apt. 685; New Kevin; NC 91436,Ensino Superior,Mato Grosso do Sul,1,Contabilidade,Analista Pleno,3
143,Rodolfo Ricardo de Gusmão,Masculino,32,Branco,0344 Davis Cape; South Sheila; MI 72524,Ensino Superior,Rio de Janeiro,8,Marketing,Analista Pleno,2
144,Tiago de Gonçalves,Masculino,32,Pardo,3396 Kathy Cape; North Ryanshire; NH 35894,Ensino Médio,Minas Gerais,1,Operações,Analista Sênior,3
147,Edu José de Brandão,Masculino,26,Pardo,436 Hamilton Ramp Apt. 573; Caseymouth; MN 33528,Ensino Superior,Pernambuco,9,Desenvolvimento de Produtos,Analista Sênior,1
148,Ali Neta,Masculino,39,Pardo,1849 Kelly Way; Michellefurt; MH 71086,Ensino Superior,Minas Gerais,6,Vendas,Analista Júnior,3
149,Reginaldo de Jesus,Masculino,56,Branco,69337 Julia Union Apt. 546; Benjaminside; VT 68042,Pós Graduação,Amapá,6,Vendas,Analista Pleno,5
150,Natália Castelo Wazepo,Feminino,22,Branco,USS Meyer; FPO AP 15572,Mestrado,Roraima,5,Recursos Humanos,Analista Júnior,1
151,Jacinto do Prado Degirozo,Masculino,31,Branco,736 Sarah Harbors Apt. 579; Josephburgh; VT 31637,Mestrado,Minas Gerais,5,Desenvolvimento de Produtos,Estagiário,2
152,Eduardo Nicolau Tsuhiyohe de Viana da Silva,Masculino,28,Branco,1604 Daniel Village; Nelsonland; MD 58620,Mestrado,Rio de Janeiro,7,Contabilidade,Gerente,2
153,Janaína Leila Yuma,Feminino,35,Pardo,080 Savannah Fall; Port Samuelburgh; VT 82959,Mestrado,Goiás,7,Marketing,Analista Júnior,2
154,Ezequiel Rosatto de Nogueira Júnior,Masculino,40,Branco,656 Price Drive Suite 489; Thomasville; SD 90338,Ensino Superior,São Paulo,3,TI,Analista Sênior,3
155,Paulo Sérgio Chosepoião,Masculino,41,Branco,49788 Weber Creek Suite 027; Richardsside; SC 29739,Ensino Superior,Mato Grosso do Sul,0,Administrativo,Estagiário,4
156,Micael Tlatromoz,Masculino,35,Branco,69054 Christopher Drives; Jasminemouth; IN 74741,Pós Graduação,Rio de Janeiro,11,Marketing,Analista Júnior,2
157,Jonathan Gomes Giyosu,Masculino,32,Preto,70351 Estes Island Suite 167; New Chad; VA 89453,Pós Graduação,Paraíba,10,TI,Gerente,2
158,Roberval Udroman Ymbaison Júnior,Masculino,24,Pardo,94976 Perry Spurs Suite 958; Simsstad; IL 93007,Ensino Superior,Minas Gerais,8,Recursos Humanos,Analista Júnior,1
163,Osvaldo da Silva,Masculino,20,Branco,163 Jarvis Mountains Apt. 155; East Shannonbury; OH 16089,Mestrado,Rio Grande do Sul,1,Compras,Analista Sênior,1
164,Caio da Paraíba,Masculino,37,Pardo,38670 Aaron Spurs; Wardland; NM 68753,Pós Graduação,Rio de Janeiro,2,TI,Gerente,3
165,Fabrício Jardel da Silva Tonfrigummoman Estrada,Masculino,28,Preto,92290 Lorraine Crossing; New Kaitlynburgh; MP 55227,Ensino Superior,Bahia,5,Operações,Analista Pleno,2
166,Diego de Moura Yeblaleman,Masculino,41,Pardo,31962 Brooks Square Suite 132; East Abigailside; AK 81601,Ensino Superior,Bahia,3,Compras,Analista Júnior,3
167,Patrick de Ramos Paim Neto,Masculino,31,Pardo,7914 Rebecca Park Apt. 823; South Debramouth; OR 42998,Ensino Superior,Espírito Santo,2,Vendas,Analista Júnior,2
168,Hélio Zawoyo Hikewa,Masculino,27,Pardo,9817 Ellis Vista Suite 193; North Stephanieberg; NJ 80348,Ensino Superior,Bahia,11,Contabilidade,Analista Sênior,1
169,Aloísio da Silva,Masculino,36,Branco,477 Laurie Dale; East Alexanderville; VT 34723,Ensino Superior,Rio Grande do Norte,3,Recursos Humanos,Analista Júnior,3
170,Nilo Fontes de Noronha,Masculino,30,Preto,766 Christine Pines; Pittmanshire; MS 21511,Ensino Superior,Espírito Santo,7,Marketing,Analista Sênior,2
171,Túlio Dralganson de Palhares,Masculino,27,Branco,8635 Patrick Wells; Taylorburgh; NY 13202,Doutorado,São Paulo,6,Marketing,Analista Sênior,2
172,Marlon Xibu,Masculino,30,Pardo,68595 Jane Islands Suite 477; Nicoleborough; MS 47983,Ensino Superior,Paraná,9,Recursos Humanos,Analista Júnior,2
173,Luara Ximenes,Feminino,19,Branco,846 Melissa Bridge; Port Matthew; MH 53802,Ensino Médio,Rio de Janeiro,2,Contabilidade,Analista Sênior,1
175,Juan de Noronha,Masculino,30,Pardo,Unit 8688 Box 0278; DPO AA 20117,Pós Graduação,Rio Grande do Norte,4,Compras,Analista Júnior,2
177,Sara Schneider,Feminino,24,Branco,3259 Matthew Lane; Lake Natasha; AS 64628,Ensino Superior,Santa Catarina,7,Administrativo,Analista Júnior,1
178,Cristiano Emseom,Masculino,31,Pardo,814 Hughes Key Suite 459; South Brent; ND 62801,Ensino Superior,Pernambuco,9,Compras,Gerente,2
179,Janete de Teixeira das Neves,Feminino,40,Preto,Unit 4196 Box 0744; DPO AA 95786,Ensino Superior,Maranhão,9,TI,Gerente,3
180,Gilson de Viana,Masculino,39,Pardo,911 Miller Springs Suite 702; Danielchester; RI 39922,Ensino Superior,Rio de Janeiro,6,Administrativo,Gerente,3
181,André Jonathas Guerra,Masculino,40,Branco,0697 Jennifer Rapids Apt. 130; Lake Jackview; PR 06870,Ensino Superior,São Paulo,5,Operações,Analista Júnior,3
182,Pablo Camilo da Silva de Miranda Chishirume,Masculino,20,Branco,3575 Oscar Canyon Suite 090; New Jacquelinestad; TN 42569,Ensino Superior,Distrito Federal,2,Desenvolvimento de Produtos,Gerente,1
183,Amarildo Mineiro Júnior,Masculino,47,Pardo,59372 Kramer Hill; Lisabury; IL 04368,Ensino Superior,Paraná,5,Contabilidade,Analista Pleno,4
184,João de Jesus Prates,Masculino,30,Pardo,579 Karen Estates; Shawton; AZ 78655,Mestrado,Rondônia,5,Marketing,Gerente,2
185,Vinícius Max Kawayune Gifem,Masculino,35,Branco,6100 Hector Ramp Suite 009; Lake Javier; PR 39771,Mestrado,Rio de Janeiro,8,Marketing,Analista Pleno,2
187,Nathan de Sobral Frenzzi,Masculino,31,Pardo,76620 Chambers Avenue Suite 722; South Kenneth; MP 86729,Mestrado,Piauí,0,Desenvolvimento de Produtos,Analista Júnior,3
188,Patrícia Gislaine de Holanda da Cruz,Feminino,26,Pardo,5851 Baxter Island Apt. 705; West Kathleen; WV 90458,Ensino Superior,Amazonas,9,TI,Analista Sênior,1
189,Kevin Jeferson de Souza,Masculino,30,Pardo,41201 Gray Hill; Holdenton; GA 28691,Ensino Superior,Maranhão,1,TI,Analista Pleno,2
191,Lina de Brito da Silva,Feminino,40,Branco,77055 Richard Hills; East Prestonburgh; DE 98929,Doutorado,São Paulo,8,Compras,Analista Júnior,3
192,Augusto Gomes,Masculino,32,Pardo,90259 Lee Mountain; Ginamouth; MN 55491,Ensino Superior,Roraima,2,Compras,Analista Sênior,3
193,Jenny de Godoy,Feminino,42,Branco,3954 Reilly Fort; Jasonton; TX 44233,Ensino Superior,Rio de Janeiro,7,Vendas,Analista Sênior,3
195,Yuri Mineiro do Nascimento,Masculino,30,Pardo,1221 Stein Ridges; Jamestown; NJ 00666,Pós Graduação,Rio Grande do Sul,3,Vendas,Analista Pleno,2
196,Luke dos Santos,Masculino,31,Pardo,06806 Hernandez Hollow; Port Paulfort; MA 62144,Ensino Superior,Santa Catarina,0,Contabilidade,Analista Pleno,3
197,Inácio Useov Portugal,Masculino,27,Pardo,162 Mccullough Courts Apt. 020; Stephensmouth; WY 36120,Mestrado,São Paulo,6,Contabilidade,Analista Júnior,2
199,Willian de Paula,Masculino,31,Pardo,Unit 7110 Box 5682; DPO AA 34940,Mestrado,Tocantins,4,Contabilidade,Gerente,2
200,Isac Isaías Mapponi Júnior,Masculino,34,Branco,304 Jackson Stravenue Apt. 860; Stephenhaven; AS 71849,Ensino Superior,Mato Grosso,2,TI,Analista Júnior,3
201,Charlene Juliana de Abreu Putekuza,Feminino,39,Branco,7395 Kyle Key Suite 901; North Michaelstad; OR 90638,Ensino Superior,Amazonas,7,Desenvolvimento de Produtos,Analista Pleno,3
202,Anderson Bartolomeu da Silva Júnior,Masculino,32,Branco,6751 Rodney Trail Suite 733; Myersport; NC 73859,Pós Graduação,Bahia,5,Recursos Humanos,Analista Pleno,2
203,Micael Olavo Astanvya Branco,Masculino,36,Pardo,802 Daniel Park; West Barbara; NC 72274,Doutorado,Piauí,7,Recursos Humanos,Diretor,2
